married / was married,couple,any relation,respondent gender,couple gender,interracial couple,respondent age,partner age,education gap,couple salary gap,couple political stability,meeting interface,try app service,relation duration [year],relation quality
no,no,yes,Male,gay male couple,no,[30 -40],[20 -30],2.0,I earned more,2.0,meet through internet,no,0.25,
yes,yes,,Female,hetero couple,no,[50 -60],[50 -60],0.0,[Partner Name] earned more,5.0,meet through work,,21.92,Excellent
yes,yes,,Male,hetero couple,no,[40 -50],[40 -50],3.0,I earned more,6.0,meet through internet,,11.08,Good
no,no,yes,Female,lesbian couple,no,[20 -30],[20 -30],0.0,I earned more,3.0,meet through internet,,0.17,
yes,yes,,Female,hetero couple,no,[50 -60],[50 -60],0.0,[Partner Name] earned more,6.0,meet in neighborhood,,33.75,Excellent
yes,yes,,Male,hetero couple,no,[50 -60],[60 -70],4.0,[Partner Name] earned more,3.0,,,35.08,Good
yes,yes,,Female,hetero couple,no,[60 -70],[60 -70],1.0,[Partner Name] earned more,3.0,meet through friends,,50.5,Excellent
yes,yes,,Female,hetero couple,no,[60 -70],[60 -70],6.0,[Partner Name] earned more,5.0,meet through studies,,50.08,Excellent
,no,no,Male,,,[20 -30],,,,,,,,
no,no,yes,Female,hetero couple,no,[60 -70],[70 -80],0.0,[Partner Name] earned more,5.0,meet through family,,0.92,
yes,yes,,Male,hetero couple,no,[30 -40],[40 -50],0.0,[Partner Name] earned more,6.0,meet through work,,9.0,Fair
no,no,yes,Male,hetero couple,no,[20 -30],[20 -30],0.0,I earned more,5.0,,,1.42,
no,no,yes,Male,hetero couple,no,[20 -30],[20 -30],0.0,[Partner Name] earned more,5.0,meet through internet,yes,0.08,
no,no,yes,Male,hetero couple,no,[30 -40],[30 -40],1.0,[Partner Name] earned more,5.0,,,4.17,
yes,yes,,Male,hetero couple,yes,[30 -40],[30 -40],3.0,I earned more,4.0,meet through studies,,6.17,Good
yes,yes,,Female,hetero couple,no,[30 -40],[40 -50],3.0,[Partner Name] earned more,6.0,meet through friends,,12.75,Excellent
,yes,,Female,hetero couple,no,[30 -40],[30 -40],1.0,[Partner Name] earned more,4.0,,,10.0,Excellent
yes,yes,,Female,hetero couple,no,[40 -50],[40 -50],0.0,[Partner Name] earned more,6.0,meet through internet,no,14.83,Excellent
yes,yes,,Male,hetero couple,no,[40 -50],[40 -50],4.0,[Partner Name] earned more,5.0,meet through work,,10.67,Excellent
yes,yes,,Female,hetero couple,no,[60 -70],[70 -80],3.0,I earned more,6.0,meet through work,,43.17,Good
yes,yes,,Male,hetero couple,no,[40 -50],[40 -50],0.0,I earned more,3.0,meet through studies,,22.08,Excellent
no,no,yes,Male,gay male couple,no,[50 -60],[50 -60],3.0,[Partner Name] earned more,6.0,meet through internet,no,6.08,
yes,no,yes,Male,hetero couple,no,[20 -30],[20 -30],1.0,I earned more,4.0,meet through studies,,,
,yes,,Female,hetero couple,no,[60 -70],[50 -60],0.0,[Partner Name] earned more,4.0,,,6.33,Excellent
yes,yes,,Male,hetero couple,no,[30 -40],[30 -40],0.0,I earned more,4.0,meet in neighborhood,,16.92,Excellent
yes,yes,,Male,hetero couple,no,[40 -50],[40 -50],0.0,I earned more,5.0,meet through family,,27.08,Excellent
no,no,yes,Male,hetero couple,no,[50 -60],[40 -50],1.0,I earned more,5.0,,,18.0,
,yes,,Female,hetero couple,no,[20 -30],[20 -30],0.0,We earned about the same amount,5.0,,,2.5,Excellent
,yes,,Male,hetero couple,yes,[30 -40],[40 -50],3.0,I earned more,4.0,meet through family,no,0.42,Good
,yes,,Female,hetero couple,no,[20 -30],[20 -30],1.0,I earned more,4.0,meet through studies,,7.25,Fair
yes,yes,,Male,hetero couple,no,[20 -30],[20 -30],0.0,[Partner Name] was not working for pay,5.0,meet through studies,,2.92,Excellent
yes,no,yes,Male,hetero couple,no,[60 -70],[60 -70],0.0,I earned more,5.0,,,,
yes,yes,,Female,lesbian couple,no,[70 -80],[70 -80],0.0,I earned more,6.0,meet through work,,40.25,Excellent
no,no,yes,Female,lesbian couple,yes,[20 -30],[30 -40],3.0,We earned about the same amount,5.0,meet through studies,,1.33,
yes,yes,,Male,hetero couple,no,[40 -50],[30 -40],1.0,[Partner Name] was not working for pay,5.0,meet through studies,,17.17,Good
yes,yes,,Male,hetero couple,no,[30 -40],[30 -40],0.0,I earned more,6.0,meet through friends,,17.5,Excellent
,yes,,Male,hetero couple,no,[20 -30],[20 -30],0.0,I earned more,5.0,meet through friends,,0.25,Fair
yes,yes,,Female,hetero couple,yes,[50 -60],[60 -70],1.0,I earned more,6.0,meet through internet,,18.17,Excellent
,yes,,Male,hetero couple,no,[50 -60],[50 -60],0.0,I earned more,6.0,meet through family,,6.58,Fair
,no,no,Male,,,[20 -30],,,,,,,,
yes,yes,,Male,hetero couple,no,[40 -50],[50 -60],4.0,[Partner Name] earned more,6.0,meet through work,yes,29.42,Excellent
,yes,,Female,hetero couple,no,[20 -30],[20 -30],4.0,[Partner Name] earned more,5.0,meet through studies,,1.17,Excellent
